kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,0,0,0,0,0,0,1.0,0.0
0,0,0,0,0,0,0.1,0.9,-0.0
0,0,0,0,0,0.1,0,0.9,0.0
0,0,0,0,0,0.1,0.1,0.81,-0.0
0,0,0,0,2500000.0,0,0,0.879741,-0.0001804
0,0,0,0,2500000.0,0,0.1,0.7917669,-0.0001624
0,0,0,0,2500000.0,0.1,0,0.7917669,-0.0001624
0,0,0,0,2500000.0,0.1,0.1,0.7125902,-0.0001461
0,0,0,2500000.0,0,0,0,0.8797856,-0.0001759
0,0,0,2500000.0,0,0,0.1,0.791807,-0.0001584
0,0,0,2500000.0,0,0.1,0,0.791807,-0.0001584
0,0,0,2500000.0,0,0.1,0.1,0.7126263,-0.0001425
0,0,0,2500000.0,2500000.0,0,0,0.7740315,-0.0003112
0,0,0,2500000.0,2500000.0,0,0.1,0.6966284,-0.0002801
0,0,0,2500000.0,2500000.0,0.1,0,0.6966284,-0.0002801
0,0,0,2500000.0,2500000.0,0.1,0.1,0.6269655,-0.0002521
0,0,1,0,0,0,0,0.1741656,-0.0714915
0,0,1,0,0,0,0.1,0.1523713,-0.0884321
0,0,1,0,0,0.1,0,0.1521884,-0.0882008
0,0,1,0,0,0.1,0.1,0.1331784,-0.0960463
0,0,1,0,2500000.0,0,0,0.1474778,-0.0950554
0,0,1,0,2500000.0,0,0.1,0.1288016,-0.1024159
0,0,1,0,2500000.0,0.1,0,0.1289283,-0.098846
0,0,1,0,2500000.0,0.1,0.1,0.1124675,-0.1022065
0,0,1,2500000.0,0,0,0,0.1471787,-0.0946195
0,0,1,2500000.0,0,0,0.1,0.1287861,-0.0986433
0,0,1,2500000.0,0,0.1,0,0.1284409,-0.1019716
0,0,1,2500000.0,0,0.1,0.1,0.1122492,-0.1019482
0,0,1,2500000.0,2500000.0,0,0,0.1251219,-0.0963189
0,0,1,2500000.0,2500000.0,0,0.1,0.109172,-0.0984104
0,0,1,2500000.0,2500000.0,0.1,0,0.1090919,-0.098321
0,0,1,2500000.0,2500000.0,0.1,0.1,0.0950415,-0.0977804
0,0,2,0,0,0,0,0.7780542,0.0002461
0,0,2,0,0,0,0.1,0.6958698,0.0002237
0,0,2,0,0,0.1,0,0.6958694,0.0002281
0,0,2,0,0,0.1,0.1,0.6223226,0.0002073
0,0,2,0,2500000.0,0,0,0.6785707,7.72e-05
0,0,2,0,2500000.0,0,0.1,0.6063102,7.05e-05
0,0,2,0,2500000.0,0.1,0,0.6071412,7.5e-05
0,0,2,0,2500000.0,0.1,0.1,0.5424461,6.86e-05
0,0,2,2500000.0,0,0,0,0.6785513,0.0001051
0,0,2,2500000.0,0,0,0.1,0.6071247,9.76e-05
0,0,2,2500000.0,0,0.1,0,0.6062886,9.97e-05
0,0,2,2500000.0,0,0.1,0.1,0.5424276,9.25e-05
0,0,2,2500000.0,2500000.0,0,0,0.5934461,-3.04e-05
0,0,2,2500000.0,2500000.0,0,0.1,0.5305255,-2.53e-05
0,0,2,2500000.0,2500000.0,0.1,0,0.5305215,-2.31e-05
0,0,2,2500000.0,2500000.0,0.1,0.1,0.4742342,-1.89e-05
0,0,3,0,0,0,0,0.8984829,0.0001339
0,0,3,0,0,0,0.1,0.8067005,0.0001227
0,0,3,0,0,0.1,0,0.8066994,0.0001241
0,0,3,0,0,0.1,0.1,0.7242859,0.0001136
0,0,3,0,2500000.0,0,0,0.7878171,-4.59e-05
0,0,3,0,2500000.0,0,0.1,0.7070997,-4.02e-05
0,0,3,0,2500000.0,0.1,0,0.7074613,-3.86e-05
0,0,3,0,2500000.0,0.1,0.1,0.6349704,-3.37e-05
0,0,3,2500000.0,0,0,0,0.7878282,-2.88e-05
0,0,3,2500000.0,0,0,0.1,0.7074722,-2.38e-05
0,0,3,2500000.0,0,0.1,0,0.7071071,-2.36e-05
0,0,3,2500000.0,0,0.1,0.1,0.6349779,-1.93e-05
0,0,3,2500000.0,2500000.0,0,0,0.6915556,-0.0001683
0,0,3,2500000.0,2500000.0,0,0.1,0.6208293,-0.0001503
0,0,3,2500000.0,2500000.0,0.1,0,0.6208272,-0.0001499
0,0,3,2500000.0,2500000.0,0.1,0.1,0.5573285,-0.0001338
0,0,4,0,0,0,0,0.9423074,8.15e-05
0,0,4,0,0,0,0.1,0.846988,7.49e-05
0,0,4,0,0,0.1,0,0.8469873,7.55e-05
0,0,4,0,0,0.1,0.1,0.761308,6.94e-05
0,0,4,0,2500000.0,0,0,0.827509,-9.98e-05
0,0,4,0,2500000.0,0,0.1,0.7436695,-8.92e-05
0,0,4,0,2500000.0,0.1,0,0.7438726,-8.83e-05
0,0,4,0,2500000.0,0.1,0.1,0.6685049,-7.89e-05
0,0,4,2500000.0,0,0,0,0.8275339,-8.72e-05
0,0,4,2500000.0,0,0,0.1,0.7438955,-7.71e-05
0,0,4,2500000.0,0,0.1,0,0.7436906,-7.73e-05
0,0,4,2500000.0,0,0.1,0.1,0.6685242,-6.84e-05
0,0,4,2500000.0,2500000.0,0,0,0.7271692,-0.0002261
0,0,4,2500000.0,2500000.0,0,0.1,0.653569,-0.0002029
0,0,4,2500000.0,2500000.0,0.1,0,0.653568,-0.0002029
0,0,4,2500000.0,2500000.0,0.1,0.1,0.5874155,-0.0001821
0,1,0,0,0,0,0,0.1838946,-0.0740605
0,1,0,0,0,0,0.1,0.1620685,-0.0906625
0,1,0,0,0,0.1,0,0.1612522,-0.0896551
0,1,0,0,0,0.1,0.1,0.1419952,-0.0974585
0,1,0,0,2500000.0,0,0,0.1576278,-0.0784601
0,1,0,0,2500000.0,0,0.1,0.1389835,-0.0896003
0,1,0,0,2500000.0,0.1,0,0.1381979,-0.0887703
0,1,0,0,2500000.0,0.1,0.1,0.1216585,-0.0937279
0,1,0,2500000.0,0,0,0,0.1573778,-0.0768935
0,1,0,2500000.0,0,0,0.1,0.1387229,-0.0884724
0,1,0,2500000.0,0,0.1,0,0.1380331,-0.0876147
0,1,0,2500000.0,0,0.1,0.1,0.1214738,-0.092826
0,1,0,2500000.0,2500000.0,0,0,0.1347967,-0.0777631
0,1,0,2500000.0,2500000.0,0,0.1,0.1188377,-0.0857128
0,1,0,2500000.0,2500000.0,0.1,0,0.11816,-0.0849965
0,1,0,2500000.0,2500000.0,0.1,0.1,0.1039477,-0.0882163
0,1,1,0,0,0,0,0.1495901,-0.0027912
0,1,1,0,0,0,0.1,0.1241317,-0.0025205
0,1,1,0,0,0.1,0,0.1246386,-0.0023795
0,1,1,0,0,0.1,0.1,0.1037367,-0.0020696
0,1,1,0,2500000.0,0,0,0.1268521,-0.0022915
0,1,1,0,2500000.0,0,0.1,0.1049347,-0.0019938
0,1,1,0,2500000.0,0.1,0,0.1065841,-0.0019155
0,1,1,0,2500000.0,0.1,0.1,0.0885448,-0.0016038
0,1,1,2500000.0,0,0,0,0.1271148,-0.0025005
0,1,1,2500000.0,0,0,0.1,0.1064033,-0.002226
0,1,1,2500000.0,0,0.1,0,0.1056431,-0.0021551
0,1,1,2500000.0,0,0.1,0.1,0.0887983,-0.0018629
0,1,1,2500000.0,2500000.0,0,0,0.1115045,-0.0020763
0,1,1,2500000.0,2500000.0,0,0.1,0.0931751,-0.0018075
0,1,1,2500000.0,2500000.0,0.1,0,0.0935477,-0.0017734
0,1,1,2500000.0,2500000.0,0.1,0.1,0.0785181,-0.0015013
0,1,2,0,0,0,0,0.1469973,-0.0462699
0,1,2,0,0,0,0.1,0.1219202,-0.0706092
0,1,2,0,0,0.1,0,0.1211247,-0.0693192
0,1,2,0,0,0.1,0.1,0.1034766,-0.0814646
0,1,2,0,2500000.0,0,0,0.1189692,-0.0539895
0,1,2,0,2500000.0,0,0.1,0.0999972,-0.0721664
0,1,2,0,2500000.0,0.1,0,0.0997204,-0.0701686
0,1,2,0,2500000.0,0.1,0.1,0.0852845,-0.0794295
0,1,2,2500000.0,0,0,0,0.1195495,-0.0524664
0,1,2,2500000.0,0,0,0.1,0.100599,-0.0701124
0,1,2,2500000.0,0,0.1,0,0.0993699,-0.0700047
0,1,2,2500000.0,0,0.1,0.1,0.0852735,-0.0785932
0,1,2,2500000.0,2500000.0,0,0,0.0976772,-0.0522848
0,1,2,2500000.0,2500000.0,0,0.1,0.0824323,-0.0673851
0,1,2,2500000.0,2500000.0,0.1,0,0.0816901,-0.0664446
0,1,2,2500000.0,2500000.0,0.1,0.1,0.0701266,-0.0737809
0,1,3,0,0,0,0,0.1694994,-0.0647891
0,1,3,0,0,0,0.1,0.1465225,-0.0828049
0,1,3,0,0,0.1,0,0.1458618,-0.0817408
0,1,3,0,0,0.1,0.1,0.1268517,-0.0904816
0,1,3,0,2500000.0,0,0,0.1428459,-0.0698147
0,1,3,0,2500000.0,0,0.1,0.1238221,-0.0823522
0,1,3,0,2500000.0,0.1,0,0.123415,-0.0811234
0,1,3,0,2500000.0,0.1,0.1,0.1072502,-0.0871434
0,1,3,2500000.0,0,0,0,0.1429508,-0.068214
0,1,3,2500000.0,0,0,0.1,0.1239906,-0.0808422
0,1,3,2500000.0,0,0.1,0,0.1232316,-0.0802836
0,1,3,2500000.0,0,0.1,0.1,0.1072015,-0.0862115
0,1,3,2500000.0,2500000.0,0,0,0.1208137,-0.0683074
0,1,3,2500000.0,2500000.0,0,0.1,0.1048231,-0.0777314
0,1,3,2500000.0,2500000.0,0.1,0,0.1042927,-0.0769461
0,1,3,2500000.0,2500000.0,0.1,0.1,0.0906064,-0.0812356
0,1,4,0,0,0,0,0.1771698,-0.0682726
0,1,4,0,0,0,0.1,0.1542527,-0.0856118
0,1,4,0,0,0.1,0,0.1535762,-0.0845578
0,1,4,0,0,0.1,0.1,0.1341835,-0.0928839
0,1,4,0,2500000.0,0,0,0.1503665,-0.0730298
0,1,4,0,2500000.0,0,0.1,0.131177,-0.0848893
0,1,4,0,2500000.0,0.1,0,0.1306652,-0.0838406
0,1,4,0,2500000.0,0.1,0.1,0.1141076,-0.0893823
0,1,4,2500000.0,0,0,0,0.1503493,-0.0713535
