kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,0,3,0,0,0.1,0,0.7671538,0.0001156
0,0,3,0,0,0.1,0,0.8580827,0.000125
0,0,3,0,0,0.1,0.1,0.7721492,0.0001058
0,0,3,0,0,0.1,0.1,0.7722745,0.0001125
0,0,3,0,2500000.0,0,0,0.8469076,0.0006483
0,0,3,0,2500000.0,0,0,0.7569995,0.0001484
0,0,3,0,2500000.0,0,0.1,0.8525644,0.0006336
0,0,3,0,2500000.0,0,0.1,0.6812996,0.0001335
0,0,3,0,2500000.0,0.1,0,0.7622169,0.0005834
0,0,3,0,2500000.0,0.1,0,0.7614862,0.0001403
0,0,3,0,2500000.0,0.1,0.1,0.767308,0.0005702
0,0,3,0,2500000.0,0.1,0.1,0.6853376,0.0001262
0,0,3,2500000.0,0,0,0,0.7569206,0.0001264
0,0,3,2500000.0,0,0,0,0.84693,0.0006131
0,0,3,2500000.0,0,0,0.1,0.7614079,0.0001154
0,0,3,2500000.0,0,0,0.1,0.762237,0.0005517
0,0,3,2500000.0,0,0.1,0,0.6812286,0.0001137
0,0,3,2500000.0,0,0.1,0,0.8525827,0.0006033
0,0,3,2500000.0,0,0.1,0.1,0.6852672,0.0001039
0,0,3,2500000.0,0,0.1,0.1,0.7673244,0.000543
0,0,3,2500000.0,2500000.0,0,0,0.7522928,0.0005846
0,0,3,2500000.0,2500000.0,0,0,0.7522793,0.0005747
0,0,3,2500000.0,2500000.0,0,0.1,0.7568427,0.0005704
0,0,3,2500000.0,2500000.0,0,0.1,0.6770514,0.0005172
0,0,3,2500000.0,2500000.0,0.1,0,0.6770636,0.0005262
0,0,3,2500000.0,2500000.0,0.1,0,0.7568284,0.0005637
0,0,3,2500000.0,2500000.0,0.1,0.1,0.6811584,0.0005133
0,0,3,2500000.0,2500000.0,0.1,0.1,0.6811456,0.0005073
0,0,4,0,0,0,0,0.9154584,7.42e-05
0,0,4,0,0,0,0,0.9155387,8.16e-05
0,0,4,0,0,0,0.1,0.9186457,6.76e-05
0,0,4,0,0,0,0.1,0.8239848,7.34e-05
0,0,4,0,0,0.1,0,0.8239126,6.67e-05
0,0,4,0,0,0.1,0,0.9187238,7.71e-05
0,0,4,0,0,0.1,0.1,0.8267811,6.09e-05
0,0,4,0,0,0.1,0.1,0.8268515,6.94e-05
0,0,4,0,2500000.0,0,0,0.9104986,0.0006184
0,0,4,0,2500000.0,0,0,0.808656,9.17e-05
0,0,4,0,2500000.0,0,0.1,0.9137388,0.0006092
0,0,4,0,2500000.0,0,0.1,0.7277904,8.25e-05
0,0,4,0,2500000.0,0.1,0,0.8194487,0.0005566
0,0,4,0,2500000.0,0.1,0,0.8112393,8.57e-05
0,0,4,0,2500000.0,0.1,0.1,0.8223649,0.0005482
0,0,4,0,2500000.0,0.1,0.1,0.7301153,7.71e-05
0,0,4,2500000.0,0,0,0,0.8086151,7.28e-05
0,0,4,2500000.0,0,0,0,0.9104503,0.000587
0,0,4,2500000.0,0,0,0.1,0.8111983,6.61e-05
0,0,4,2500000.0,0,0,0.1,0.8194053,0.0005283
0,0,4,2500000.0,0,0.1,0,0.7277536,6.55e-05
0,0,4,2500000.0,0,0.1,0,0.9136888,0.0005799
0,0,4,2500000.0,0,0.1,0.1,0.7300785,5.94e-05
0,0,4,2500000.0,0,0.1,0.1,0.8223199,0.0005219
0,0,4,2500000.0,2500000.0,0,0,0.8043262,0.000554
0,0,4,2500000.0,2500000.0,0,0,0.8042678,0.000541
0,0,4,2500000.0,2500000.0,0,0.1,0.8069398,0.0005449
0,0,4,2500000.0,2500000.0,0,0.1,0.723841,0.0004869
0,0,4,2500000.0,2500000.0,0.1,0,0.7238936,0.0004986
0,0,4,2500000.0,2500000.0,0.1,0,0.8068817,0.0005329
0,0,4,2500000.0,2500000.0,0.1,0.1,0.7262458,0.0004904
0,0,4,2500000.0,2500000.0,0.1,0.1,0.7261936,0.0004796
0,1,0,0,0,0,0,0.0896117,0.0088911
0,1,0,0,0,0,0,0.0890667,-0.0534022
0,1,0,0,0,0,0.1,0.1087508,0.0200446
0,1,0,0,0,0,0.1,0.080215,-0.0479799
0,1,0,0,0,0.1,0,0.0807736,0.0080779
0,1,0,0,0,0.1,0,0.0993222,-0.045133
0,1,0,0,0,0.1,0.1,0.0980415,0.0177882
0,1,0,0,0,0.1,0.1,0.0894205,-0.0405435
0,1,0,0,2500000.0,0,0,0.1539506,0.0078993
0,1,0,0,2500000.0,0,0,0.0661873,-0.0583518
0,1,0,0,2500000.0,0,0.1,0.1768464,0.0066296
0,1,0,0,2500000.0,0,0.1,0.0596105,-0.0524521
0,1,0,0,2500000.0,0.1,0,0.138643,0.0070895
0,1,0,0,2500000.0,0.1,0,0.0754657,-0.0551506
0,1,0,0,2500000.0,0.1,0.1,0.1592148,0.005956
0,1,0,0,2500000.0,0.1,0.1,0.0679475,-0.0495779
0,1,0,2500000.0,0,0,0,0.0738591,0.0033643
0,1,0,2500000.0,0,0,0,0.124529,-0.0027691
0,1,0,2500000.0,0,0,0.1,0.0769415,0.0510373
0,1,0,2500000.0,0,0,0.1,0.112235,-0.002467
0,1,0,2500000.0,0,0.1,0,0.0665222,0.0030795
0,1,0,2500000.0,0,0.1,0,0.156384,-0.0004786
0,1,0,2500000.0,0,0.1,0.1,0.0691874,0.0458768
0,1,0,2500000.0,0,0.1,0.1,0.1408165,-0.0004312
0,1,0,2500000.0,2500000.0,0,0,0.1004628,0.0067939
0,1,0,2500000.0,2500000.0,0,0,0.0789148,-0.0401157
0,1,0,2500000.0,2500000.0,0,0.1,0.1208401,0.006979
0,1,0,2500000.0,2500000.0,0,0.1,0.0710111,-0.0360452
0,1,0,2500000.0,2500000.0,0.1,0,0.0905772,0.0060936
0,1,0,2500000.0,2500000.0,0.1,0,0.0910065,-0.0229368
0,1,0,2500000.0,2500000.0,0.1,0.1,0.1088537,0.0062539
0,1,0,2500000.0,2500000.0,0.1,0.1,0.0819082,-0.0205202
0,1,1,0,0,0,0,0.0538464,-0.0075107
0,1,1,0,0,0,0,0.0529001,0.0069168
0,1,1,0,0,0,0.1,0.0525585,-0.0084857
0,1,1,0,0,0,0.1,0.0508,0.0049474
0,1,1,0,0,0.1,0,0.0511255,-0.0074712
0,1,1,0,0,0.1,0,0.0523206,0.0052512
0,1,1,0,0,0.1,0.1,0.0515925,-0.0084343
0,1,1,0,0,0.1,0.1,0.0525907,0.0022762
0,1,1,0,2500000.0,0,0,0.0469298,-0.0043419
0,1,1,0,2500000.0,0,0,0.0580231,0.0036044
0,1,1,0,2500000.0,0,0.1,0.0447843,-0.0057611
0,1,1,0,2500000.0,0,0.1,0.0589482,0.0015634
0,1,1,0,2500000.0,0.1,0,0.0437688,-0.004281
0,1,1,0,2500000.0,0.1,0,0.0619615,0.0013542
0,1,1,0,2500000.0,0.1,0.1,0.0426617,-0.005559
0,1,1,0,2500000.0,0.1,0.1,0.0631824,0.0003157
0,1,1,2500000.0,0,0,0,0.0565976,-0.0101491
0,1,1,2500000.0,0,0,0,0.0478085,-0.1301873
0,1,1,2500000.0,0,0,0.1,0.0599352,-0.0090927
0,1,1,2500000.0,0,0,0.1,0.0434564,-0.117381
0,1,1,2500000.0,0,0.1,0,0.0570679,-0.0089595
0,1,1,2500000.0,0,0.1,0,0.0430954,0.0064599
